id,description,url,district,street,house_nr,zip,town
1,Abenteuerlicher Bauspielplatz Kolle 37,,Pankow,Kollwitzstraße,35,10405,Berlin
2,Abenteuerspielplatz Köpenick,,Treptow-Köpenick,Alte Kaulsdorfer Straße,18,12555,Berlin
3,Abenteuerspielplatz Marie,,Pankow,Marienburger Straße,42,10405,Berlin
4,Abenteuerspielplatz Waslala,https://www.berlin.de/kultur-und-tickets/tipps/kinder/kinderbauernhoefe/3077897-3076561-abenteuerspielplatz-und-kinderbauernhof-.html,Treptow-Köpenick,Venusstraße,88,12524,Berlin
5,Abenteuerspielplatz Wildhüterweg,https://www.berlin.de/special/sport-und-fitness/adressen/spielplatz/abenteuerspielplatz-wildhueterweg-d36217f31c1993e90ed6a227c41bcda6.html,Neukölln,Wildhüterweg,2,12353,Berlin
6,Aktivspielplatz Franz B.,,Pankow,Blankenfelder Straße,106,13127,Berlin
7,Alia Mädchenzentrum,,Friedrichshain-Kreuzberg,Wrangelstraße,84,10997,Berlin
8,Amerika Gedenkbibliothek,https://www.berlin.de/sehenswuerdigkeiten/3561110-3558930-amerika-gedenk-bibliothek.html,Friedrichshain-Kreuzberg,Blücherplatz,1,10961,Berlin
9,Amt für Soziales,https://service.berlin.de/standort/324549/,Marzahn-Hellersdorf,Riesaer Straße,94,12627,Berlin
10,ASP Inge Abenteuerspielplatz Karow,,Pankow,Ingwäonenweg,62,13125,Berlin
11,Ausstellungszentrum Pyramide,https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-weiterbildung-und-kultur/kultur/artikel.260286.php,Marzahn-Hellersdorf,Riesaer Straße,94,12627,Berlin
12,AWO Begegnungszentrum,,Friedrichshain-Kreuzberg,Adalbertstraße,23,10997,Berlin
13,Bayouma-Haus,,Friedrichshain-Kreuzberg,Frankfurter Allee,110,10247,Berlin
14,Begegnungsstätte Charlottenstraße 85,,Friedrichshain-Kreuzberg,Charlottenstraße,85,10969,Berlin
15,Begegnungsstätte Falckensteinstraße,,Friedrichshain-Kreuzberg,Falckensteinstraße,6,10997,Berlin
16,Begegnungsstätte Gitschiner Str. 38,,Friedrichshain-Kreuzberg,Gitschiner Straße,38,10969,Berlin
17,Begegnungsstätte Judith Auer,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/familie/artikel.280283.php,Lichtenberg,Judith-Auer-Straße,8,10369,Berlin
18,Berlin Pavillon,,Mitte,Scheidemannstraße,1,10557,Berlin
19,Berliner Ensemble,https://www.berlin.de/tickets/theater/tipps/buehnen/2224912-2903274-berliner-ensemble.html,Mitte,Bertolt-Brecht-Platz,1,10117,Berlin
20,Berliner Landeszentrale für politische Bildung,https://www.berlin.de/politische-bildung/,Charlottenburg-Wilmersdorf,Hardenbergstraße,22,10623,Berlin
21,Berlinische Galerie - Museum für Moderne Kunst,https://www.berlin.de/museum/3109283-2926344-berlinische-galerie.html,Friedrichshain-Kreuzberg,Alte Jakobstraße,128,10969,Berlin
22,Bezirksamt (Premnitzer Straße),https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-buergerdienste/wohnungsamt/,Marzahn-Hellersdorf,Premnitzer Straße,13,12681,Berlin
23,Bezirksamt Lichtenberg Bürgeramt 1,https://service.berlin.de/standort/122252/,Lichtenberg,Egon-Erwin-Kisch-Straße,106,13059,Berlin
24,Bezirksmuseum Alt-Marzahn 51,https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-weiterbildung-und-kultur/kultur/artikel.260283.php,Marzahn-Hellersdorf,Alt-Marzahn,51,12685,Berlin
25,Bezirkszentralbibliothek Mark Twain,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/bezirkszentralbibliothek-mark-twain-08082d6dad077fe83e6bbe27cb9783fd.html,Marzahn-Hellersdorf,Marzahner Promenade,55,12679,Berlin
26,Bibl. Lankwitz,https://www.berlin.de/stadtbibliothek-steglitz-zehlendorf/bibliotheken/stadtteilbibliothek-lankwitz/,Steglitz-Zehlendorf,Bruchwitzstraße,37,12247,Berlin
27,Bibliothek am Luisenbad,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bibliothek-am-luisenbad/,Mitte,Travemünder Straße,2,13357,Berlin
28,Bibliothek Kaulsdorf,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/stadtteilbibliothek-kaulsdorf-nord-4f144789b4fc475f0baf5001.html,Marzahn-Hellersdorf,Cecilienplatz,12,12619,Berlin
29,Bibliothek Mahlsdorf,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/stadtteilbibliothek-mahlsdorf-08082d6dad077fe83e6bbe27cb97e399.html,Marzahn-Hellersdorf,Alt-Mahlsdorf,24,12623,Berlin
30,Bibliothek Tiergarten Süd,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/bibliothek-tiergartensued-08082d6dad077fe83e6bbe27cb991739.html,Mitte,Lützowstraße,27,10785,Berlin
31,Wohnhaus,,Reinickendorf,Wilhelmsruher Damm,228,13435,Berlin
32,Brandenburger Tor,https://www.berlin.de/sehenswuerdigkeiten/3560266-3558930-brandenburger-tor.html,Mitte,Pariser Platz,8,10117,Berlin
33,Brunnenplatz,,Reinickendorf,Senftenberger Ring,3,13439,Berlin
34,Bruno Lösche Bibliothek,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,Mitte,Perleberger Straße,33,10559,Berlin
35,Bröhan-Museum,https://www.berlin.de/museum/3109311-2926344-broehanmuseum.html,Charlottenburg-Wilmersdorf,Schloßstraße,1,14059,Berlin
36,Bundeskanzler-Willy-Brandt-Stiftung ,https://www.berlin.de/museum/3109938-2926344-bundeskanzlerwillybrandtstiftung-forum-w.html,Mitte,Unter den Linden,62,10117,Berlin
37,Bürgeramt Zehlendorf,https://service.berlin.de/standort/122267/,Steglitz-Zehlendorf,Kirchstraße,01. Mär,14163,Berlin
38,Bürgeramt Zwickauer Damm,https://service.berlin.de/standort/122296/,Neukölln,Zwickauer Damm,52,12353,Berlin
39,Bürodienstgebäude (Klosterstraße 36),,Spandau,Klosterstraße,36,13581,Berlin
40,C&A,,Charlottenburg-Wilmersdorf,Wilmersdorfer Straße,124,10627,Berlin
41,Café Marlene,,Pankow,Kastanienallee,103,10435,Berlin
42,Café Pink,https://www.berlin.de/adressen/verein/cafe-pink-kiezoase-schoeneberg-e-v-4f143a5fb4fc475f0b961f00.html,Tempelhof-Schöneberg,Goltzstraße,40,10781,Berlin
43,Carlo-Schmid-Oberschule,https://www.berlin.de/special/jobs-und-ausbildung/adressen/sekundarschule/carloschmidoberschule-4f1446abb4fc475f0b541101.html,Spandau,Lutoner Straße,15,13581,Berlin
44,Caspar-David-Friedrich-Grundschule,https://www.berlin.de/special/jobs-und-ausbildung/adressen/sekundarschule/caspardavidfriedrichschule-0fa5b7ed99d4364596ab79e037161960.html,Marzahn-Hellersdorf,Alte Hellersdorfer Straße,7,12629,Berlin
45,Chic,,Charlottenburg-Wilmersdorf,Bismarckstraße,10,10825,Berlin
46,Christian-Morgenstern-Grundschule,https://www.berlin.de/special/jobs-und-ausbildung/adressen/grundschule/christianmorgensterngrundschule-d058f42b22117f877e8cdc827b421958.html,Spandau,Räcknitzer Steig,12,13593,Berlin
47,Christliches Sozialwerk Berlin e.V. ,,Lichtenberg,Landsberger Allee,225,13055,Berlin
48,Club Atelier 89,,Pankow,Hanns-Eisler-Straße,7,10409,Berlin
49,Dali Berlin,https://www.berlin.de/museum/3127782-2926344-dali-die-ausstellung-am-potsdamer-platz.html,Mitte,Leipziger Platz,7,10117,Berlin
50,Der Alte,,Pankow,Wiltbergstraße,27,13125,Berlin
51,Der Würfel - Netzwerk Spielkultur ,,Pankow,Wolfgang-Heinz-Straße,45,13125,Berlin
52,Egon-Erwin-Kisch-Bibliothek,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298028.php,Lichtenberg,Frankfurter Allee,149,10365,Berlin
53,Ehm-Welk-Bibliothek,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/mittelpunktbibliothek-ehm-welk-08082d6dad077fe83e6bbe27cb97ca54.html,Marzahn-Hellersdorf,Alte Hellersdorfer Straße,125,12629,Berlin
54,Erich-Weinert-Bibliothek,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-erich-weinert/,Marzahn-Hellersdorf,Helene-Weigel-Platz,4,12681,Berlin
55,Ernst-Haeckel-Gesamtschule,https://www.berlin.de/special/jobs-und-ausbildung/adressen/sekundarschule/ernsthaeckelschule-4f1445eab4fc475f0b86dd00.html,Marzahn-Hellersdorf,Luckenwalder Straße,53,12629,Berlin
56,Ernst-Reuter-Sportfeld,https://www.berlin.de/ba-steglitz-zehlendorf/politik-und-verwaltung/aemter/schul-und-sportamt/sport/artikel.109625.php,Steglitz-Zehlendorf,Onkel-Tom-Straße,40,14169,Berlin
57,Esswirtschaft Forum,,Keine Zuordnung,Rudower Chaussee,24,12489,Berlin
58,Experimentalbox - Jugendmedienclub,,Pankow,Hosemannstraße,14,10409,Berlin
59,Familien- und Nachbarschaftszentrum Wrangelkiez PFH,,Friedrichshain-Kreuzberg,Cuvrystraße,13,10997,Berlin
60,Familienzentrum Der Blankenburger,,Pankow,Gernroder Straße,6,13129,Berlin
61,Familienzentrum Upsala,,Pankow,Upsalaer Straße,6,13189,Berlin
62,Fernsehturm,https://www.berlin.de/sehenswuerdigkeiten/3560707-3558930-fernsehturm.html,Mitte,Panoramastraße,1,10178,Berlin
63,FEZ-Berlin,https://www.berlin.de/sehenswuerdigkeiten/3561064-3558930-freizeit-und-erholungszentrum-wuhlheide.html,Treptow-Köpenick,Straße zum FEZ,0,12459,Berlin
64,FHXB Friedrichshain-Kreuzberg Museum,https://www.berlin.de/museum/3131583-2926344-friedrichshainkreuzberg-museum.html,Friedrichshain-Kreuzberg,Adalbertstraße,95,10999,Berlin
65,Franchise-Nehmer der McDonald´s Deutschland Inc..,,Charlottenburg-Wilmersdorf,Kantstraße,111,10627,Berlin
66,Freizeitclub Heiligensee,https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/einrichtungen/seniorenfreizeitstaetten/artikel.105149.php,Reinickendorf,Alt-Heiligensee,39,13503,Berlin
67,Freizeitclub Tegel,https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/einrichtungen/seniorenfreizeitstaetten/artikel.105110.php,Reinickendorf,Alt-Tegel,43,13507,Berlin
68,Freizeitzentrum für Senioren und Behinderte Adelheidallee,https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/einrichtungen/seniorenfreizeitstaetten/artikel.105099.php,Reinickendorf,Adelheidallee,5,13507,Berlin
69,Friedrichstadtpalast,https://www.berlin.de/tickets/theater/tipps/buehnen/2224953-2903274-friedrichstadtpalast.html,Mitte,Friedrichstraße,107,10117,Berlin
70,Galerie M,https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-weiterbildung-und-kultur/kultur/artikel.259925.php,Marzahn-Hellersdorf,Marzahner Promenade,46,12679,Berlin
71,Gartenhaus an der MARIE,,Pankow,Winsstraße,49,10405,Berlin
72,Gemeinschaftshaus Gropiusstadt,,Neukölln,Bat-Yam-Platz,1,12353,Berlin
73,Georg-Klingenberg-Schule,https://www.berlin.de/special/jobs-und-ausbildung/adressen/sekundarschule/klingenbergschule-4f14478fb4fc475f0ba15201.html,Marzahn-Hellersdorf,Alberichstraße,24,12683,Berlin
74,Gesobau-Zentrale,https://www.berlin.de/special/immobilien-und-wohnen/1126487-739619-gesobau.html,Reinickendorf,Wilhelmsruher Damm,142,13439,Berlin
76,Gesundheitsamt Charlottenburg-Wilmersdorf,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/gesundheitsamt/,Charlottenburg-Wilmersdorf,Hohenzollerndamm,174,10713,Berlin
77,Gesundheitsamt Marzahn-Hellersdorf - Kinder-und Jugendgesundheitsdienst (JAG),https://service.berlin.de/standort/324392/,Marzahn-Hellersdorf,Janusz-Korczak-Straße,32,12627,Berlin
78,Gesundheitsamt Neukölln Sozialpsychiatrischer Dienst,https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/aemter/gesundheitsamt/sozialpsychiatrischer-dienst/artikel.274596.php,Neukölln,Gutschmidtstraße,31,12359,Berlin
79,Gesundheitsamt Sozialpsychologische Beratung,https://service.berlin.de/standort/325763/,Mitte,Reinickendorfer Straße,60,13347,Berlin
80,Hansabibliothek,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/hansabibliothek-08082d6dad077fe83e6bbe27cb993a3e.html,Mitte,Altonaer Straße,15,10557,Berlin
81,Haus am Waldsee,https://www.berlin.de/museum/3137760-2926344-haus-am-waldsee.html,Steglitz-Zehlendorf,Argentinische Allee,30,14163,Berlin
82,Haus der Jugend Bunte Kuh,,Pankow,Bernkasteler Straße,78,13088,Berlin
83,Haus der Jugend Zehlendorf,,Steglitz-Zehlendorf,Argentinische Allee,28,14163,Berlin
84,Haus der Wannsee Konferenz,https://www.berlin.de/museum/3108697-2926344-haus-der-wannseekonferenz.html,Steglitz-Zehlendorf,Am Großen Wannsee,56,14109,Berlin
85,Haus of fun,,Tempelhof-Schöneberg,Tirschenreuther Ring,67,12279,Berlin
86,Heinrich-von-Kleist-Bibliothek,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/stadtteilbibliothek-heinrich-von-kleist-4f143f10b4fc475f0bec7b00.html,Marzahn-Hellersdorf,Havemannstraße,17,12689,Berlin
87,Heinz-Brandt-Schule (Schülerklub),https://www.berlin.de/special/jobs-und-ausbildung/adressen/sekundarschule/heinzbrandtschule-4f144742b4fc475f0b5a3a01.html,Pankow,Langhansstraße,120,13086,Berlin
88,"Hertha-Müller-Haus Begegnungs-, Beratungs- und Freizeitzentrum für ältere Bürger",https://www.berlin.de/ba-steglitz-zehlendorf/politik-und-verwaltung/aemter/amt-fuer-soziales/materielle-hilfen-sozialdienst-seniorenbetreuung-und-ehrenamtlicher-dienst/artikel.102118.php,Steglitz-Zehlendorf,Argentinische Allee,89,14163,Berlin
89,Innovations- und Gründerzentrum,,Treptow-Köpenick,Rudower Chaussee,29,12489,Berlin
90,JFE Betonoase,,Lichtenberg,Dolgenseestraße,11,10319,Berlin
91,JFE Die Nische,,Marzahn-Hellersdorf,Louis-Lewin-Straße,40,12627,Berlin
92,JFE Eastside,,Lichtenberg,Volkradstraße,6,10319,Berlin
93,JFE Fair,,Marzahn-Hellersdorf,Marzahner Promenade,51,12679,Berlin
94,JFE Fallobst,,Pankow,Ibsenstraße,17,10439,Berlin
95,JFE Full House,,Lichtenberg,Ribnitzer Straße,30,13051,Berlin
96,JFE Future,,Lichtenberg,Schweriner Ring,27,13059,Berlin
97,JFE Holzwurmhaus,,Lichtenberg,Falkenberger Chaussee,141,13057,Berlin
98,JFE Kontaktladen V.i.P.,,Lichtenberg,Rüdickenstraße,29,13053,Berlin
99,JFE Leo‘ Hütte,,Lichtenberg,Grevesmühlener Straße,43,13059,Berlin
100,JFE Linse,,Lichtenberg,An der Parkaue,25,10367,Berlin
101,JFE Mikado,,Lichtenberg,Egon-Erwin-Kisch-Straße,1,13059,Berlin
102,JFE Napf,,Lichtenberg,Hauffstraße,13,10317,Berlin
103,JFE NTC / EFB,,Lichtenberg,Erieseering,4,10319,Berlin
104,JFE Oktopus,,Pankow,Parkstraße,12,13127,Berlin
105,JFE Orange Flip,,Lichtenberg,Gensinger Straße,56,10315,Berlin
106,JFE Rainbow,,Marzahn-Hellersdorf,Hönower Straße,30,12623,Berlin
107,JFE Tube,,Lichtenberg,Herzbergstraße,160,10367,Berlin
108,JFH Hellersdorfer Straße,,Marzahn-Hellersdorf,Hellersdorfer Straße,27,12621,Berlin
109,JFH Tangermünder Straße,,Marzahn-Hellersdorf,Tangermünder Straße,2,12627,Berlin
110,Johann-Strauß-Grundschule,https://www.berlin.de/special/jobs-und-ausbildung/adressen/grundschule/johannstraussgrundschule-4f144680b4fc475f0bb60601.html,Marzahn-Hellersdorf,Cecilienstraße,81,12683,Berlin
111,Johannes-Bobrowski-Bibliothek,https://www.berlin.de/stadtbibliothek-treptow-koepenick/bibliotheken/friedrichshagen/,Treptow-Köpenick,Peter-Hille-Straße,1,12587,Berlin
112,Jonas‘ Haus,,Spandau,Schulstraße,3,13591,Berlin
113,JuFaZ,,Lichtenberg,Eitelstraße,19,10317,Berlin
114,Jugendamt am Halleschen Ufer,https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/aemter/jugendamt/,Friedrichshain-Kreuzberg,Frankfurter Allee,35-37,10247,Berlin
115,Jugendamt Bezirksamt Lichtenberg,https://www.berlin.de/ba-lichtenberg/politik-und-verwaltung/behoerdenwegweiser/artikel.250455.php,Lichtenberg,Große-Leege-Straße,103,13055,Berlin
116,Jugendamt Neukölln Regionaler Dienst Süd Team 1 und 2,https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/aemter/jugendamt/regionen/artikel.285924.php,Neukölln,Rudower Straße,8,12351,Berlin
117,Jugendclub Balzer-Platz,,Marzahn-Hellersdorf,Köpenicker Straße,184,12683,Berlin
118,Jugendclub Feuerwache,,Friedrichshain-Kreuzberg,Marchlewskistraße,6,10243,Berlin
119,Jugendclub Feuerwache,,Neukölln,Hannemannstraße,74,12347,Berlin
120,Jugendclub Klinke,,Marzahn-Hellersdorf,Bruno-Baum-Straße,56,12685,Berlin
121,Jugendclub Liebig 19,,Friedrichshain-Kreuzberg,Liebigstraße,19,10247,Berlin
122,Jugendclub Maxim,,Pankow,Charlottenburger Straße,117,13086,Berlin
123,Jugendclub NW80,,Neukölln,Neudecker Weg,80,12355,Berlin
124,Jugendclub Rudolf-Leonhard-Straße,,Marzahn-Hellersdorf,Rudolf-Leonhard-Straße,2,12679,Berlin
125,Jugendclub Trapez,,Neukölln,Käthe-Frankenthal-Weg,12,12355,Berlin
126,Jugendclub Ufo,,Neukölln,Lipschitzallee,27,12351,Berlin
127,Jugendeinrichtung DR Kongo,,Mitte,Kongostraße,28,13351,Berlin
128,Jugendfarm Moritzhof ,https://www.berlin.de/kultur-und-tickets/tipps/kinder/kinderbauernhoefe/3076989-3076561-jugendfarm-moritzhof.html,Pankow,Schwedter Straße,90,10437,Berlin
129,Jugendförderung Pankow info,https://www.berlin.de/jugendamt-pankow/,Pankow,Berliner Allee,252,13088,Berlin
130,Jugendfreizeiteinrichtung Anna Landsberger,,Marzahn-Hellersdorf,Prötzeler Ring,13,12679,Berlin
131,Jugendfreizeiteinrichtung Bungalow,,Tempelhof-Schöneberg,Mariendorfer Damm,117,12109,Berlin
132,Jugendfreizeiteinrichtung Düppel,,Steglitz-Zehlendorf,Lissabonallee,8,14163,Berlin
133,Jugendfreizeiteinrichtung Hessenring,,Tempelhof-Schöneberg,Hessenring,47,12101,Berlin
134,Jugendfreizeiteinrichtung Joker,,Marzahn-Hellersdorf,Alte Hellersdorfer Straße,3,12629,Berlin
135,Jugendfreizeiteinrichtung K 14,,Pankow,Achillesstraße,14,13125,Berlin
136,Jugendfreizeitstätte M24,,Pankow,Mühlenstraße,24,13187,Berlin
137,Jugendfreizeitstätte M24 Garage Pankow (Außenstelle),,Pankow,Hadlichstraße,3,13187,Berlin
138,Jugendhaus Königstadt,,Pankow,Saarbrücker Straße,22,10405,Berlin
139,Jugendklub Zwergenhöhle,,Lichtenberg,Spittastraße,40,10317,Berlin
140,Jugendzentrum Grenzallee,,Neukölln,Grenzallee,5,12057,Berlin
141,Jugendzentrum YO!22,,Neukölln,Oderstraße,22,12051,Berlin
142,JuJo Jugendzentrum Johannisthal,,Treptow-Köpenick,Winckelmannstraße,56,12487,Berlin
143,Kietz-Klub-Köpenick (Karl-Kunger Str. 30),,Treptow-Köpenick,Karl-Kunger-Straße,30,12435,Berlin
144,Kiez-Café,,Friedrichshain-Kreuzberg,Petersburger Straße,92,10247,Berlin
145,Kiezspinne,,Lichtenberg,Schulze-Boysen-Straße,38,10365,Berlin
146,Kinder- u. Jugendfreizeiteinrichtung Toller,,Pankow,Tollerstraße,31,13158,Berlin
147,Kinder- u. Jugendzentrum W 24,,Pankow,Wichertstraße,24,10439,Berlin
148,Kinder- und Jugendclub go,,Pankow,Schönhauser Allee,165,10435,Berlin
149,Kinderfreizeiteinrichtung Kulti,,Pankow,Majakowskiring,58,13156,Berlin
150,KInderfreizeiteinrichtung Rakäthe,,Pankow,Pasteurstraße,22,10407,Berlin
151,Kinderring Berlin e. V.,https://www.berlin.de/special/sport-und-fitness/adressen/jugendzentrum/oc-23-4f144618b4fc475f0b6aeb00.html,Pankow,Langhansstraße,23,13086,Berlin
152,Klubhaus - Spandau,,Spandau,Westerwaldstraße,13,13589,Berlin
153,Kombibad Gropiusstadt,https://www.berlin.de/special/sport-und-fitness/adressen/schwimmbad/kombibad-gropiusstadt-4fa0e315be8077fc28000001.html,Neukölln,Lipschitzallee,33,12351,Berlin
154,Kombibad Seestraße Hallenbad,https://www.berlin.de/special/sport-und-fitness/adressen/schwimmbad/kombibad-seestrasse-4f143a00b4fc475f0b8b1000.html,Mitte,Seestraße,80,13347,Berlin
155,Komische Oper,,Mitte,Behrenstraße,55,10117,Berlin
156,Kommunale Begegnungsstätte Neustrelitzstraße,,Lichtenberg,Neustrelitzer Straße,63,13055,Berlin
157,Kommunale Begegnungsstätte „Rusche 43“,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/familie/artikel.280284.php,Lichtenberg,Ruschestraße,43,10367,Berlin
158,Kommunikationszentrum am Ostpreußendamm,https://www.berlin.de/ba-steglitz-zehlendorf/politik-und-verwaltung/aemter/amt-fuer-soziales/materielle-hilfen-sozialdienst-seniorenbetreuung-und-ehrenamtlicher-dienst/artikel.102122.php,Steglitz-Zehlendorf,Ostpreußendamm,52,12207,Berlin
159,Kulturbrauerei,https://www.berlin.de/sehenswuerdigkeiten/3560308-3558930-kulturbrauerei.html,Pankow,Schönhauser Allee,36,10435,Berlin
160,KulturGut Marzahn,,Marzahn-Hellersdorf,Alt-Marzahn,23,12685,Berlin
161,Kulturring in Berlin e.V.,,Marzahn-Hellersdorf,Carola-Neher-Straße,1,12619,Berlin
162,Kunsthaus Flora,https://www.berlin.de/kultur-und-tickets/adressen/kulturzentrum/kunsthaus-flora-9caa3c9a746cd0c1bab6e89e274075d7.html,Marzahn-Hellersdorf,Florastraße,113,12623,Berlin
163,Kunstverein Tiergarten Galerie Nord,,Mitte,Turmstraße,75,10551,Berlin
